"带 (dài)","mang theo, dẫn theo","Dùng khi mang đồ vật (dù, tiền) hoặc dẫn người đi đâu đó."
"怎么 (zěnme)","vì sao, làm sao","Dùng để hỏi nguyên nhân hoặc cách thức thực hiện hành động."
"接 (jiē)","đón, nghe điện thoại","Hành động đón người hoặc nhấc máy nghe điện thoại."
"后天 (hòutiān)","ngày mốt","Ngày sau ngày mai."
"前天 (qiántiān)","hôm kia","Hai ngày trước tính từ hôm nay."
"建议 (jiànyì)","kiến nghị, đề xuất","Đưa ra lời khuyên hoặc góp ý cho ai đó."
"博物馆 (bówùguǎn)","viện bảo tàng","Nơi trưng bày các vật phẩm lịch sử, nghệ thuật."
"参观 (cānguān)","tham quan","Đi xem và học hỏi tại các địa điểm như nhà máy, trường học."
"同意 (tóngyì)","đồng ý","Chấp thuận một ý kiến hoặc đề nghị nào đó."
"意见 (yìjiàn)","ý kiến","Lời đóng góp hoặc quan điểm về một vấn đề."
"对面 (duìmiàn)","đối diện","Vị trí ở phía trước mặt hoặc phía bên kia đường."
"出去 (chūqù)","ra ngoài","Hành động đi từ trong ra ngoài (rời xa người nói)."
"回来 (huílai)","quay về","Trở về địa điểm mà người nói đang có mặt."
"以后 (yǐhòu)","sau này, sau khi","Khoảng thời gian sau một mốc cụ thể."
"以前 (yǐqián)","trước đây, trước khi","Khoảng thời gian trước một mốc cụ thể."
"转告 (zhuǎngào)","chuyển lời","Nhờ ai đó nhắn lại lời nói cho một người khác."
"回 (huí)","gọi lại (điện thoại)","Dùng trong cụm 'huí diànhuà' (gọi lại điện thoại)."
"关机 (guānjī)","tắt máy","Tắt nguồn điện thoại hoặc các thiết bị điện tử."
"发现 (fāxiàn)","phát hiện","Nhận ra hoặc tìm thấy một điều gì đó mới."
"伞 (sǎn)","cây dù","Đồ vật dùng để che mưa hoặc che nắng."
"工厂 (gōngchǎng)","nhà máy, xưởng","Nơi sản xuất hàng hóa, có nhiều công nhân làm việc."
"散步 (sànbù)","đi dạo, tản bộ","Đi bộ thư giãn, thường là vào buổi sáng hoặc tối."
"双 (shuāng)","đôi, cặp","Lượng từ dùng cho những vật đi theo cặp (giày, đũa)."
"皮鞋 (píxié)","giày da","Loại giày làm bằng chất liệu da."
"衬衫 (chènshān)","áo sơ mi","Loại áo có cổ, thường mặc đi làm hoặc đi học."
"裤子 (kùzi)","quần","Trang phục mặc ở nửa thân dưới, lượng từ là 'tiáo'."
"讲 (jiǎng)","nói, kể chuyện","Hành động giải thích hoặc kể lại một câu chuyện."
"故事 (gùshi)","câu chuyện","Nội dung được kể lại (cố sự)."
"迷你裙 (mínǐqún)","váy ngắn","Loại váy ngắn thời trang của nữ giới."
"成长 (chéngzhǎng)","trưởng thành, lớn lên","Quá trình phát triển của con người hoặc sự vật."
"苦瓜 (kǔguā)","khổ qua, mướp đắng","Một loại quả có vị đắng, dùng làm thức ăn."
"特别 (tèbié)","đặc biệt, vô cùng","Dùng để nhấn mạnh mức độ (đặc biệt ngon, đặc biệt vui)."
" need (xūyào)","cần, nhu cầu","Cần phải làm gì đó hoặc một nhu cầu cần đáp ứng."
"再 (zài)","lại, nữa","Hành động lặp lại trong tương lai (làm lại lần nữa)."
"态度 (tàidu)","thái độ","Cách nhìn nhận hoặc hành xử của một người."
"过敏 (guòmǐn)","dị ứng","Phản ứng của cơ thể với thực phẩm hoặc môi trường."
"老板 (lǎobǎn)","ông chủ","Người đứng đầu hoặc sở hữu một cửa hàng, công ty."
"机会 (jīhuì)","cơ hội","Thời cơ thuận lợi để làm một việc gì đó."
"语音 (yǔyīn)","ngữ âm, tin nhắn thoại","Âm thanh giọng nói hoặc tin nhắn bằng giọng nói."
"说谎 (shuōhuǎng)","nói dối","Hành động nói không đúng sự thật."
